score,parameters
346.0,"{'mds_recall_warning_threshold': 78260, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 6344, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 77245327, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 339, 'rbd_readahead_max_bytes': 1234298, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8218405724116055}"
346.0,"{'mds_recall_warning_threshold': 60753, 'mds_dir_max_commit_size': 20, 'mds_recall_max_caps': 5837, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 85511519, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 31, 'mds_min_caps_per_client': 348, 'rbd_readahead_max_bytes': 1105696, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7004803824172345}"
346.0,"{'mds_recall_warning_threshold': 49198, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 5533, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 86690602, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 38, 'mds_min_caps_per_client': 395, 'rbd_readahead_max_bytes': 535980, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4257000308582325}"
346.0,"{'mds_recall_warning_threshold': 83726, 'mds_dir_max_commit_size': 12, 'mds_recall_max_caps': 6830, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 84256181, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 42, 'mds_min_caps_per_client': 269, 'rbd_readahead_max_bytes': 997091, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8786572025564641}"
346.0,"{'mds_recall_warning_threshold': 61524, 'mds_dir_max_commit_size': 16, 'mds_recall_max_caps': 7195, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 69538271, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 33, 'mds_min_caps_per_client': 427, 'rbd_readahead_max_bytes': 729875, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7149690421361153}"
346.0,"{'mds_recall_warning_threshold': 73654, 'mds_dir_max_commit_size': 16, 'mds_recall_max_caps': 7086, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 75324171, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 468, 'rbd_readahead_max_bytes': 558624, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.29037893328945164}"
346.0,"{'mds_recall_warning_threshold': 33724, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7431, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 85912520, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 33, 'mds_min_caps_per_client': 269, 'rbd_readahead_max_bytes': 1158848, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.2726988074820397}"
346.0,"{'mds_recall_warning_threshold': 42667, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 6140, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 86614228, 'osd_tier_default_cache_hit_set_count': 5, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 472, 'rbd_readahead_max_bytes': 657012, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3901721407925805}"
346.0,"{'mds_recall_warning_threshold': 60204, 'mds_dir_max_commit_size': 18, 'mds_recall_max_caps': 5549, 'mds_session_cache_liveness_magnitude': 10, 'bluestore_fsck_read_bytes_cap': 68300711, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 34, 'mds_min_caps_per_client': 431, 'rbd_readahead_max_bytes': 790672, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.1381658089522615}"
346.0,"{'mds_recall_warning_threshold': 80447, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 6175, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 84115300, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 35, 'mds_min_caps_per_client': 284, 'rbd_readahead_max_bytes': 1182918, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.963797660560632}"
346.0,"{'mds_recall_warning_threshold': 46489, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 6972, 'mds_session_cache_liveness_magnitude': 10, 'bluestore_fsck_read_bytes_cap': 81279549, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 196, 'rbd_readahead_max_bytes': 1076582, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7131448410714724}"
346.0,"{'mds_recall_warning_threshold': 85523, 'mds_dir_max_commit_size': 13, 'mds_recall_max_caps': 7738, 'mds_session_cache_liveness_magnitude': 16, 'bluestore_fsck_read_bytes_cap': 82887107, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 229, 'rbd_readahead_max_bytes': 1034490, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.28367814605586583}"
346.0,"{'mds_recall_warning_threshold': 80965, 'mds_dir_max_commit_size': 18, 'mds_recall_max_caps': 6163, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 80640188, 'osd_tier_default_cache_hit_set_count': 5, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 411, 'rbd_readahead_max_bytes': 640516, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.26266483264269797}"
346.0,"{'mds_recall_warning_threshold': 71853, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 6442, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87007376, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 36, 'mds_min_caps_per_client': 427, 'rbd_readahead_max_bytes': 635067, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.42947484675294695}"
346.0,"{'mds_recall_warning_threshold': 67297, 'mds_dir_max_commit_size': 20, 'mds_recall_max_caps': 7415, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 71627799, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 162, 'rbd_readahead_max_bytes': 1026089, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9888095835516776}"
346.0,"{'mds_recall_warning_threshold': 80471, 'mds_dir_max_commit_size': 14, 'mds_recall_max_caps': 6866, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 69669113, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 39, 'mds_min_caps_per_client': 396, 'rbd_readahead_max_bytes': 941603, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5024711627131699}"
346.0,"{'mds_recall_warning_threshold': 75706, 'mds_dir_max_commit_size': 24, 'mds_recall_max_caps': 6685, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 82472235, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 45, 'mds_min_caps_per_client': 209, 'rbd_readahead_max_bytes': 719587, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9911754891466651}"
346.0,"{'mds_recall_warning_threshold': 74275, 'mds_dir_max_commit_size': 21, 'mds_recall_max_caps': 6707, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 78968467, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 35, 'mds_min_caps_per_client': 277, 'rbd_readahead_max_bytes': 701198, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9894145226109164}"
346.0,"{'mds_recall_warning_threshold': 70760, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 5778, 'mds_session_cache_liveness_magnitude': 16, 'bluestore_fsck_read_bytes_cap': 74540007, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 40, 'mds_min_caps_per_client': 448, 'rbd_readahead_max_bytes': 931014, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6046150269540843}"
346.0,"{'mds_recall_warning_threshold': 37092, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 5012, 'mds_session_cache_liveness_magnitude': 10, 'bluestore_fsck_read_bytes_cap': 86768495, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 357, 'rbd_readahead_max_bytes': 1009898, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3364798432266301}"
346.0,"{'mds_recall_warning_threshold': 79291, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7455, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 86390139, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 34, 'mds_min_caps_per_client': 100, 'rbd_readahead_max_bytes': 1147536, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.10173551776063071}"
346.0,"{'mds_recall_warning_threshold': 48009, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 7210, 'mds_session_cache_liveness_magnitude': 17, 'bluestore_fsck_read_bytes_cap': 85528269, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 42, 'mds_min_caps_per_client': 202, 'rbd_readahead_max_bytes': 1159480, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7071762429683852}"
346.0,"{'mds_recall_warning_threshold': 43680, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 6666, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 78478651, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 119, 'rbd_readahead_max_bytes': 975727, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.41256562809843783}"
346.0,"{'mds_recall_warning_threshold': 46905, 'mds_dir_max_commit_size': 15, 'mds_recall_max_caps': 7843, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 82279322, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 101, 'rbd_readahead_max_bytes': 707257, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8105518160354009}"
346.0,"{'mds_recall_warning_threshold': 85775, 'mds_dir_max_commit_size': 20, 'mds_recall_max_caps': 5630, 'mds_session_cache_liveness_magnitude': 13, 'bluestore_fsck_read_bytes_cap': 77034832, 'osd_tier_default_cache_hit_set_count': 5, 'osd_target_transaction_size': 40, 'mds_min_caps_per_client': 283, 'rbd_readahead_max_bytes': 1115434, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7135942362596839}"
346.0,"{'mds_recall_warning_threshold': 66984, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 5343, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 76531591, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 37, 'mds_min_caps_per_client': 301, 'rbd_readahead_max_bytes': 960454, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.0570634765468751}"
346.0,"{'mds_recall_warning_threshold': 45062, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 6826, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 73983407, 'osd_tier_default_cache_hit_set_count': 5, 'osd_target_transaction_size': 36, 'mds_min_caps_per_client': 284, 'rbd_readahead_max_bytes': 995675, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9575317047284528}"
346.0,"{'mds_recall_warning_threshold': 46744, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 6614, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 68725063, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 282, 'rbd_readahead_max_bytes': 837492, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.37195531941949134}"
346.0,"{'mds_recall_warning_threshold': 60763, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 6972, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 70036694, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 113, 'rbd_readahead_max_bytes': 1024185, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4509241004159004}"
346.0,"{'mds_recall_warning_threshold': 85925, 'mds_dir_max_commit_size': 15, 'mds_recall_max_caps': 7092, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 86891411, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 30, 'mds_min_caps_per_client': 227, 'rbd_readahead_max_bytes': 997805, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7371975577353452}"
